timestamp,ip,user_agent,path,method
2025-03-18 06:43:45,168.100.149.212,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),company/detail/135/product/detail/894,GET
2025-03-18 06:43:52,40.77.167.143,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-18 06:44:08,40.77.167.131,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-18 06:44:17,168.100.149.44,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),product/detail/763,GET
2025-03-18 06:44:27,61.220.27.181,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",article/detail/53,GET
2025-03-18 06:44:59,168.100.149.35,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),company/detail/76/article,GET
2025-03-18 06:45:07,168.100.149.208,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),product/detail/519,GET
2025-03-18 06:45:29,168.100.149.243,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),product/detail/531,GET
2025-03-18 09:04:37,168.100.149.115,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),company/detail/31/product/detail/286,GET
2025-03-18 09:05:11,168.100.149.116,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),company/detail/10/product/detail/287,GET
2025-03-18 09:05:27,168.100.149.125,Mozilla/5.0 (compatible; AhrefsSiteAudit/6.1; +http://ahrefs.com/robot/site-audit),article/detail/302,GET
2025-03-18 09:06:14,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-18 11:14:19,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-18 11:15:24,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-18 11:15:53,160.251.97.10,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),article/detail/15,GET
2025-03-18 11:17:26,40.77.167.243,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",article/detail/247,GET
2025-03-18 11:20:56,52.250.58.105,python-requests/2.32.3,/,GET
2025-03-18 11:22:38,49.109.149.40,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",article/detail/249,GET
